frameIndex,localTime,globalTime
0,60086.598681534,120173.23474228401
1,60086.632010461,120173.268071211
2,60086.665346769,120173.301407519
3,60086.698686653,120173.33474740302
4,60086.732009829,120173.36807057902
5,60086.765339971,120173.40140072102
6,60086.798676897,120173.43473764701
7,60086.832013451,120173.46807420101
8,60086.865340755,120173.50140150501
9,60086.898660935,120173.53472168502
10,60086.932002321,120173.56806307101
11,60086.965323879,120173.601384629
12,60086.998662723,120173.63472347302
13,60087.031991404,120173.66805215401
14,60087.065323332,120173.701384082
15,60087.098660097,120173.73472084702
16,60087.131994324,120173.768055074
17,60087.165318582,120173.80137933201
18,60087.198646351,120173.834707101
19,60087.2319839,120173.86804465001
20,60087.265320461,120173.901381211
21,60087.29864276,120173.93470351
22,60087.331975362,120173.96803611201
23,60087.365299495,120174.00136024502
24,60087.398644097,120174.034704847
25,60087.431958146,120174.06801889601
26,60087.465293731,120174.10135448101
27,60087.498619454,120174.134680204
28,60087.531955969,120174.16801671902
29,60087.565290356,120174.201351106
30,60087.598627616,120174.234688366
31,60087.631944423,120174.26800517301
32,60087.665280976,120174.30134172601
33,60087.69860499,120174.33466574001
34,60087.731947752,120174.368008502
35,60087.765283891,120174.40134464101
36,60087.798609028,120174.43466977801
37,60087.831935912,120174.46799666202
38,60087.865271303,120174.50133205301
39,60087.898603064,120174.534663814
40,60087.93192512,120174.56798587
41,60087.965262131,120174.601322881
42,60087.998593439,120174.63465418901
43,60088.031934324,120174.667995074
44,60088.065256797,120174.701317547
45,60088.098586016,120174.73464676601
46,60088.131925035,120174.767985785
47,60088.16525918,120174.80131993
48,60088.198586394,120174.83464714402
49,60088.231910747,120174.867971497
50,60088.265253254,120174.901314004
51,60088.298583983,120174.934644733
52,60088.331904906,120174.96796565602
53,60088.365240092,120175.001300842
54,60088.398573557,120175.03463430701
55,60088.431909357,120175.06797010702
56,60088.465222826,120175.10128357602
57,60088.498555383,120175.134616133
58,60088.531886602,120175.16794735202
59,60088.565224778,120175.20128552802
60,60088.598567253,120175.234628003
61,60088.631886055,120175.26794680502
62,60088.665228279,120175.30128902901
63,60088.69856029,120175.33462104
64,60088.731872049,120175.36793279901
65,60088.765211773,120175.40127252301
66,60088.798538534,120175.43459928401
67,60088.831867134,120175.46792788402
68,60088.865216102,120175.50127685201
69,60088.898530742,120175.534591492
70,60088.931866628,120175.56792737801
71,60088.965192186,120175.601252936
72,60088.998525112,120175.63458586202
73,60089.031856795,120175.66791754501
74,60089.065187596,120175.70124834601
75,60089.098532731,120175.734593481
76,60089.131848704,120175.767909454
77,60089.165178632,120175.80123938201
78,60089.198523021,120175.83458377101
79,60089.23185424,120175.86791499001
80,60089.265174798,120175.90123554801
81,60089.298510016,120175.93457076601
82,60089.331848864,120175.967909614
83,60089.365178792,120176.001239542
84,60089.398497219,120176.03455796902
85,60089.431838645,120176.06789939501
86,60089.465173242,120176.10123399201
87,60089.498502337,120176.13456308702
88,60089.531834642,120176.16789539202
89,60089.56516632,120176.20122707
90,60089.598492627,120176.23455337701
91,60089.631815972,120176.267876722
92,60089.665152484,120176.30121323401
93,60089.698488164,120176.33454891402
94,60089.731809052,120176.36786980201
95,60089.765153274,120176.40121402401
96,60089.79847525,120176.43453600002
97,60089.831812303,120176.46787305301
98,60089.865145484,120176.50120623401
