accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,variant,fault,model,data_type,subset_accuracy,hamming_loss,f1_micro
0.98989898989899,0.9947916666666669,0.875,0.925953627524308,0.9900042087542088,0.98989898989899,0.9892039316123086,airpods_acc,lumbar_extension,MLP,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,hip_shift,XGBoost,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,hip_shift,LightGBM,airpods_acc,,,
0.9595959595959596,0.9770114942528736,0.875,0.9168067226890756,0.9614536166260303,0.9595959595959596,0.9571852983617688,airpods_acc,hip_shift,RandomForest,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,hip_shift,MLP,airpods_acc,,,
0.9595959595959596,0.9622767857142858,0.9513949433304272,0.9563492063492064,0.9599657287157288,0.9595959595959596,0.9593554593554594,airpods_acc,forward_lean,XGBoost,airpods_acc,,,
0.9595959595959596,0.9622767857142858,0.9513949433304272,0.9563492063492064,0.9599657287157288,0.9595959595959596,0.9593554593554594,airpods_acc,forward_lean,LightGBM,airpods_acc,,,
0.9696969696969696,0.976923076923077,0.9594594594594594,0.9670622158145724,0.9710955710955712,0.9696969696969696,0.9694146746381416,airpods_acc,forward_lean,RandomForest,airpods_acc,,,
0.9595959595959596,0.953205128205128,0.9622929380993898,0.9572907679033648,0.9608132608132608,0.9595959595959596,0.9597964110474896,airpods_acc,forward_lean,MLP,airpods_acc,,,
0.9797979797979798,0.9886363636363636,0.9230769230769232,0.9525862068965516,0.980257116620753,0.9797979797979798,0.9790723325206084,airpods_acc,chest_collapse,XGBoost,airpods_acc,,,
0.9797979797979798,0.9886363636363636,0.9230769230769232,0.9525862068965516,0.980257116620753,0.9797979797979798,0.9790723325206084,airpods_acc,chest_collapse,LightGBM,airpods_acc,,,
0.9797979797979798,0.9886363636363636,0.9230769230769232,0.9525862068965516,0.980257116620753,0.9797979797979798,0.9790723325206084,airpods_acc,chest_collapse,RandomForest,airpods_acc,,,
0.9797979797979798,0.9333333333333332,0.9883720930232558,0.958403361344538,0.9824915824915824,0.9797979797979798,0.9804006451065276,airpods_acc,chest_collapse,MLP,airpods_acc,,,
0.9797979797979798,0.9751006036217305,0.9751006036217305,0.9751006036217305,0.9797979797979798,0.9797979797979798,0.9797979797979798,airpods_acc,shallow_depth,XGBoost,airpods_acc,,,
0.98989898989899,0.9930555555555556,0.9821428571428572,0.9874125874125874,0.9900392817059483,0.98989898989899,0.9898424807515718,airpods_acc,shallow_depth,LightGBM,airpods_acc,,,
0.9595959595959596,0.9427536231884058,0.9610160965794768,0.951231527093596,0.9613233787146832,0.9595959595959596,0.960003980693636,airpods_acc,shallow_depth,RandomForest,airpods_acc,,,
0.9797979797979798,0.9751006036217305,0.9751006036217305,0.9751006036217305,0.9797979797979798,0.9797979797979798,0.9797979797979798,airpods_acc,shallow_depth,MLP,airpods_acc,,,
0.9595959595959596,0.978494623655914,0.8,0.864010989010989,0.9613337677853808,0.9595959595959596,0.954989454989455,airpods_acc,excessive_depth,XGBoost,airpods_acc,,,
0.9494949494949496,0.9734042553191488,0.75,0.819672131147541,0.9521813883516012,0.9494949494949496,0.9417674007837944,airpods_acc,excessive_depth,LightGBM,airpods_acc,,,
0.9494949494949496,0.9734042553191488,0.75,0.819672131147541,0.9521813883516012,0.9494949494949496,0.9417674007837944,airpods_acc,excessive_depth,RandomForest,airpods_acc,,,
0.898989898989899,0.4494949494949495,0.5,0.4734042553191489,0.8081828384858688,0.898989898989899,0.8511712873415002,airpods_acc,excessive_depth,MLP,airpods_acc,,,
0.98989898989899,0.9945054945054944,0.9444444444444444,0.9678258043548912,0.99000999000999,0.98989898989899,0.9896298047094276,airpods_acc,weak_bracing,XGBoost,airpods_acc,,,
0.98989898989899,0.9945054945054944,0.9444444444444444,0.9678258043548912,0.99000999000999,0.98989898989899,0.9896298047094276,airpods_acc,weak_bracing,LightGBM,airpods_acc,,,
0.98989898989899,0.9945054945054944,0.9444444444444444,0.9678258043548912,0.99000999000999,0.98989898989899,0.9896298047094276,airpods_acc,weak_bracing,RandomForest,airpods_acc,,,
0.98989898989899,0.9945054945054944,0.9444444444444444,0.9678258043548912,0.99000999000999,0.98989898989899,0.9896298047094276,airpods_acc,weak_bracing,MLP,airpods_acc,,,
0.98989898989899,0.9545454545454546,0.99438202247191,0.973365617433414,0.9908172635445364,0.98989898989899,0.9901109562126512,airpods_acc,poor_breathing,XGBoost,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,poor_breathing,LightGBM,airpods_acc,,,
0.98989898989899,0.9944444444444444,0.95,0.9708909144369302,0.9900112233445568,0.98989898989899,0.989661388955714,airpods_acc,poor_breathing,RandomForest,airpods_acc,,,
0.98989898989899,0.9944444444444444,0.95,0.9708909144369302,0.9900112233445568,0.98989898989899,0.989661388955714,airpods_acc,poor_breathing,MLP,airpods_acc,,,
0.9696969696969696,0.9836956521739132,0.85,0.9034774130646734,0.9706851119894596,0.9696969696969696,0.96727430299091,airpods_acc,dropping_too_fast,XGBoost,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,dropping_too_fast,LightGBM,airpods_acc,,,
0.98989898989899,0.9944444444444444,0.95,0.9708909144369302,0.9900112233445568,0.98989898989899,0.989661388955714,airpods_acc,dropping_too_fast,RandomForest,airpods_acc,,,
0.98989898989899,0.9944444444444444,0.95,0.9708909144369302,0.9900112233445568,0.98989898989899,0.989661388955714,airpods_acc,dropping_too_fast,MLP,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,unintentional_pause,XGBoost,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,unintentional_pause,LightGBM,airpods_acc,,,
0.9797979797979798,0.9894736842105264,0.8333333333333333,0.8946808510638298,0.9802232854864432,0.9797979797979798,0.977885235332044,airpods_acc,unintentional_pause,RandomForest,airpods_acc,,,
0.9797979797979798,0.9112903225806452,0.9112903225806452,0.9112903225806452,0.9797979797979798,0.9797979797979798,0.9797979797979798,airpods_acc,unintentional_pause,MLP,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,asymmetrical_pattern,XGBoost,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,asymmetrical_pattern,LightGBM,airpods_acc,,,
0.9696969696969696,0.9825581395348836,0.90625,0.9394001224239952,0.970754052149401,0.9696969696969696,0.9683985333852708,airpods_acc,asymmetrical_pattern,RandomForest,airpods_acc,,,
0.9494949494949496,0.9154761904761906,0.8942018072289157,0.904384778829438,0.9485088985088984,0.9494949494949496,0.9488315646322214,airpods_acc,asymmetrical_pattern,MLP,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,poor_stance,XGBoost,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,poor_stance,LightGBM,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,poor_stance,RandomForest,airpods_acc,,,
0.9595959595959596,0.9726027397260274,0.9333333333333332,0.9502012072434608,0.9618098796180988,0.9595959595959596,0.9587220291445644,airpods_acc,poor_stance,MLP,airpods_acc,,,
0.98989898989899,0.9947368421052633,0.9,0.9417989417989416,0.9900053163211058,0.98989898989899,0.9893645449201004,airpods_acc,good_technique,XGBoost,airpods_acc,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,airpods_acc,good_technique,LightGBM,airpods_acc,,,
0.9797979797979798,0.9895833333333331,0.8,0.8697368421052631,0.9802188552188552,0.9797979797979798,0.9773790536948432,airpods_acc,good_technique,RandomForest,airpods_acc,,,
