t_watch,t_global,ua_x,ua_y,ua_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,mag_accuracy,quat_x,quat_y,quat_z,quat_w,roll,pitch,yaw,grav_x,grav_y,grav_z,altitude,pressure,heart_rate
0.03829954166576499,59963.97103116668,-0.007339698262512684,0.016945958137512207,-0.006436526775360107,0.02938443422317505,0.003423390444368124,-0.021403660997748375,0.43341064453125,6.9829254150390625,53.4342041015625,2,0.2994737178791109,0.007146242046363376,0.04495624882666712,0.9530180468489472,-0.016214260716384408,0.6082719977072929,0.09936446064301287,-0.013305434957146645,-0.5714502334594727,-0.8205288648605347,0.0,0.0,94.0
0.0437432083326712,59963.97647483335,-0.019885681569576263,-0.0006609559059143066,-0.010588586330413818,0.0313681997358799,0.0003996593877673149,-0.011949213221669197,0.825408935546875,6.924652099609375,53.0399169921875,2,0.29961539172040075,0.00713740784879269,0.04472241765744122,0.952984605529872,-0.016083478510278054,0.6085716307101595,0.09883971347371083,-0.013195369392633438,-0.5716961026191711,-0.8203593492507935,0.0,0.0,94.0
0.05419962499945541,59963.98693125001,-0.01892639696598053,-0.01117175817489624,-0.004683554172515869,0.045240603387355804,0.001737365499138832,0.0037341415882110596,0.87530517578125,6.9427337646484375,53.08563232421875,2,0.2997942449162769,0.00711519261879926,0.04454428667431758,0.9529368540344891,-0.016029418984532483,0.6089467540739093,0.09845769093212214,-0.013147583231329918,-0.5720038414001465,-0.8201455473899841,0.0,0.0,94.0
0.06353812499946798,59963.996269750016,-0.00714457780122757,0.0018154382705688477,0.003814697265625,0.06636999547481537,0.0034730806946754456,0.011590173467993736,0.1744384765625,7.206787109375,53.479736328125,2,0.3000620611239638,0.0071162332800939225,0.044560048112919526,0.9528517446813567,-0.01607538935690858,0.6095072588968592,0.09851841702607012,-0.01318012923002243,-0.5724635124206543,-0.81982421875,0.0,0.0,94.0
0.0742072916655161,59964.006938916675,0.003969508223235607,0.008063971996307373,0.006414353847503662,0.08464780449867249,0.005237158387899399,0.001919437083415687,-0.548309326171875,7.400848388671875,53.61541748046875,2,0.30041181642531134,0.0071695228068560084,0.04470922419136223,0.9527342141251586,-0.016109194634994724,0.610242635908236,0.09885955611867717,-0.013201058842241764,-0.5730662941932678,-0.8194026947021484,0.0,0.0,94.0
0.08590025000012247,59964.01863187501,0.009005052037537098,0.01573193073272705,0.007414638996124268,0.1119108721613884,0.005531948059797287,0.003309966530650854,-0.183258056640625,7.2869873046875,53.4105224609375,2,0.3008854739891007,0.007230273260422889,0.04477706558002442,0.9525810207404338,-0.016083360791222193,0.6112396358147789,0.09901740364675457,-0.013170694932341576,-0.573883056640625,-0.8188313245773315,0.0,0.0,94.0
0.09411362500031828,59964.02684525002,0.009652920998632908,0.02316462993621826,0.006843090057373047,0.06796444952487946,0.0040845200419425964,0.010954037308692932,-0.0670166015625,7.01812744140625,53.28277587890625,2,0.30132113140448624,0.007268059296087393,0.044839994704754076,0.9524400490556534,-0.01610224469883456,0.6121549460254401,0.0991772001650263,-0.013177694752812386,-0.5746324062347412,-0.818305492401123,0.0,0.0,94.0
0.10421154166579072,59964.03694316668,0.009499797597527504,0.01712721586227417,0.013149440288543701,0.02217257209122181,0.00042975321412086487,-0.0017575628589838743,-0.021148681640625,7.1446380615234375,53.49066162109375,2,0.30151956262372864,0.007280833678547374,0.04487368030009797,0.9523755627354367,-0.016124942477663044,0.6125713451222857,0.09926501056324968,-0.013192408718168736,-0.5749731659889221,-0.818065881729126,0.0,0.0,94.0
0.11417699999947217,59964.04690862501,0.0024128612130880356,0.007177233695983887,0.01433473825454712,0.02632550522685051,0.0009943433105945587,-0.0185911376029253,0.569732666015625,6.942535400390625,53.29132080078125,2,0.3016251959052559,0.007267063598320407,0.04472660865112442,0.9523490574351361,-0.01606312197947855,0.6127936168908076,0.09894184504386346,-0.013139781542122364,-0.5751550197601318,-0.8179388642311096,0.0,0.0,94.0
0.12434020833279646,59964.05707183335,-0.0025146864354610443,0.011571109294891357,0.008313417434692383,0.05406578630208969,0.0018984866328537464,-0.022899067029356956,0.133697509765625,7.32452392578125,53.4666748046875,2,0.30180914659763347,0.007301217112234125,0.044605324475226374,0.9522962354306205,-0.015919523491645916,0.6131845666350865,0.09865088192969752,-0.013018746860325336,-0.5754747986793518,-0.8177158832550049,0.0,0.0,94.0
0.13421820833355014,59964.066949833345,-0.0014487514272332191,0.017883896827697754,0.0005880594253540039,0.025019224733114243,-0.00095322635024786,-0.013797180727124214,-0.04925537109375,7.2583770751953125,53.446533203125,2,0.3020265420705525,0.007344554241674641,0.04452785667177167,0.9522306318355773,-0.015791381251699557,0.6136458067264606,0.09845841387654092,-0.012909770011901855,-0.5758519172668457,-0.817452073097229,0.0,0.0,94.0
0.14421516666698153,59964.07694679168,0.00473177433013916,0.018189430236816406,-0.0026129484176635742,-0.04312895983457565,-0.005300015211105347,0.0008509635808877647,0.083892822265625,7.154632568359375,53.39385986328125,2,0.30197337931694107,0.007336768735409242,0.04448748431547833,0.9522494149813798,-0.015772324062917037,0.6135342733583444,0.09836495330566408,-0.01289520412683487,-0.5757607221603394,-0.8175165057182312,0.0,0.0,94.0
0.15420804166569724,59964.08693966668,0.005778598599135876,0.011593401432037354,0.0013772845268249512,-0.05690469592809677,-0.005375648848712444,0.015573983080685139,0.194122314453125,7.232818603515625,53.64947509765625,2,0.3017158128372667,0.007273010453962874,0.044493248246483666,0.9523312455637039,-0.015889512001963108,0.6129879804343623,0.09840136262249356,-0.012996003031730652,-0.5753139853477478,-0.8178293704986572,0.0,0.0,94.0
0.16440358333238692,59964.09713520834,0.0003973105922341347,-0.0004374980926513672,0.002152383327484131,-0.03406979516148567,-0.0012961085885763168,0.009658103808760643,0.388092041015625,7.165771484375,53.63446044921875,2,0.3014923239143637,0.007205900573821158,0.044476175024456464,0.9524033675814224,-0.016002286635185402,0.6125132034419111,0.09839004747946212,-0.013092602603137493,-0.5749256014823914,-0.8181009292602539,0.0,0.0,94.0
0.17470620833228168,59964.10743783334,0.003123960457742214,0.016824185848236084,-0.0008366107940673828,0.0004660773556679487,0.004164437297731638,0.001675278414040804,0.3182373046875,7.14715576171875,53.623779296875,2,0.30141552067812255,0.0071815467320837136,0.0444540723584891,0.9524288886433532,-0.016032068346884067,0.6123501801477417,0.09834921732138256,-0.013118469156324863,-0.574792206287384,-0.8181942105293274,0.0,0.0,94.0
0.18421974999910162,59964.116951375014,0.004400197416543961,0.031089484691619873,0.002756953239440918,0.009596702642738819,0.0065818107686936855,-0.01280500739812851,0.28033447265625,7.1186065673828125,53.48577880859375,2,0.3014206950012826,0.00722690120340655,0.04438503979248851,0.9524301421164968,-0.01587634084635149,0.6123668570189926,0.09815536640138989,-0.012990902177989483,-0.5748058557510376,-0.8181867003440857,0.0,0.0,94.0
0.19421845833312545,59964.126950083344,0.006853767670691013,0.02974069118499756,0.0053386688232421875,0.04584392532706261,0.009049229323863983,-0.016215983778238297,0.171417236328125,7.1197509765625,53.663330078125,2,0.30155591262863074,0.007288868626543441,0.04430177072444546,0.9523907896825494,-0.015689271147340735,0.6126578884926318,0.09792810444733732,-0.012835219502449036,-0.5750439763069153,-0.818021833896637,0.0,0.0,94.0
0.20420712499981164,59964.136938750016,0.0075076790526509285,0.03100830316543579,0.007138490676879883,0.10089413076639175,0.00965856108814478,0.01419577095657587,0.171173095703125,7.116790771484375,53.60888671875,2,0.30188453320413317,0.007318302922985739,0.04428963498682023,0.952286987037762,-0.015656843236789845,0.6133495276183649,0.0979084850434838,-0.012802462093532085,-0.5756096839904785,-0.8176243305206299,0.0,0.0,94.0
0.2142587916659977,59964.14699041668,0.003005353733897209,0.02035975456237793,0.006509184837341309,0.07375358790159225,0.007938957773149014,0.022813228890299797,0.401947021484375,7.1173248291015625,53.53424072265625,2,0.3023039132254048,0.007334564872038129,0.04432502059844985,0.9521522326499289,-0.01570271271826048,0.614229346020907,0.09801792938039852,-0.01283201016485691,-0.5763288736343384,-0.8171170949935913,0.0,0.0,94.0
0.22427558333220077,59964.15700720834,0.0010874364525079727,0.005761981010437012,0.0067299604415893555,0.04376053065061569,0.005308287218213081,0.035790544003248215,0.352996826171875,7.086151123046875,53.53399658203125,2,0.30257616824474254,0.007306359041851286,0.044403665043842036,0.952062234214917,-0.015864176036255364,0.614795577985067,0.09824770274466836,-0.012958765029907227,-0.576791524887085,-0.8167885541915894,0.0,0.0,94.0
0.23422983333330194,59964.166961458344,0.001238437369465828,0.00693666934967041,0.005379796028137207,0.018914569169282913,0.006385802291333675,0.040557071566581726,0.478271484375,7.052001953125,53.4359130859375,2,0.3027220353900186,0.007257770086158036,0.04452801063023094,0.952010459641095,-0.01608979254507678,0.6150941711691025,0.09858770283160902,-0.013140274211764336,-0.5770354270935059,-0.8166133761405945,0.0,0.0,94.0
0.24426683333331312,59964.176998458344,0.003239557147026062,0.0012887120246887207,0.006830811500549316,0.04214496910572052,0.011562542989850044,0.023458564653992653,0.066986083984375,7.21270751953125,53.75506591796875,2,0.30284690522733926,0.007256628558810114,0.0446849798379598,0.951963349467096,-0.0162263044492203,0.6153530315889195,0.0989670438153928,-0.01324932649731636,-0.5772468447685242,-0.8164621591567993,0.0,0.0,94.0
