baseline_variant,best_variant,level,wilcoxon_stat,wilcoxon_p,cohen_d,n_faults
raw_smoothed,combined_acc,single_label,559.0,1.278415245048055e-07,0.5826346484631644,84
raw_smoothed,combined_acc,multi_label,0.0,0.125,1.0723207551784852,4
