fold,macro_f1,accuracy,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
1,0.973927422976665,0.9375,0.9677863660533668,0.017076452038676998,0.9444620253164558,0.01912201710633658
2,0.9398699508607008,0.9746835443037974,0.9677863660533668,0.017076452038676998,0.9444620253164558,0.01912201710633658
3,0.9839362199906416,0.9367088607594937,0.9677863660533668,0.017076452038676998,0.9444620253164558,0.01912201710633658
4,0.9645683177799216,0.9493670886075949,0.9677863660533668,0.017076452038676998,0.9444620253164558,0.01912201710633658
5,0.9766299186589041,0.9240506329113924,0.9677863660533668,0.017076452038676998,0.9444620253164558,0.01912201710633658
