timestamp,t_global,t_local,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,accuracy
0.015125125006306916,0.01512600000569364,0.014979749998019543,0.000294635072350502,-0.0031064748764038086,-2.6404857635498047e-05,-0.0005057277157902718,0.0016865478828549385,0.0006465143524110317,-26.899154663085938,39.35114288330078,9.619659423828125,2
0.023701666672423016,0.023701916667050682,0.02355566666665254,-0.0002691652625799179,-0.0014277100563049316,-0.0002593402750790119,-0.001564451027661562,-0.0019395858980715275,0.001970586832612753,-26.700958251953125,39.30598449707031,9.715011596679688,2
0.03376974999991944,0.03376987500087125,0.03362362500047311,-0.0004421733319759369,-0.0013970732688903809,0.0003451700322329998,0.001886739395558834,-0.0013672723434865475,-8.004717528820038e-05,-26.7127685546875,39.35845184326172,9.932952880859375,2
0.04378812500362983,0.04378845833707601,0.043642124997859355,0.0002433285117149353,-0.00148850679397583,-0.0001875758171081543,0.0013773355167359114,0.00028779124841094017,-0.0013466663658618927,-26.57154083251953,39.24577713012695,9.620895385742188,2
0.054118416672281455,0.054119208332849666,0.053972958332451526,-0.0004787612706422806,-0.002373218536376953,0.0006815195083618164,0.0024623072240501642,-0.00045283371582627296,0.0008666869252920151,-26.504684448242188,39.19596862792969,9.354934692382812,2
0.06412625000666594,0.06412704166723415,0.0639807083280175,0.000960400328040123,-0.001549065113067627,0.0005917549133300781,0.0010020029731094837,0.00041295215487480164,-0.0019059199839830399,-26.67877197265625,39.24507522583008,9.525932312011719,2
0.07398174999980256,0.07398237500456162,0.07383608333475422,-0.00011129304766654968,-0.0019611716270446777,-0.0008916854858398438,-0.0029964670538902283,0.0017447988502681255,0.00042061787098646164,-26.5716552734375,39.169734954833984,9.724578857421875,2
0.08409104166639736,0.08409170833328972,0.08394545833289158,-0.00025277212262153625,-0.0020986199378967285,-0.0005868077278137207,0.0013045992236584425,-0.0017919898964464664,-0.0011303350329399109,-26.50951385498047,39.17322540283203,9.36407470703125,2
0.09414074999949662,0.09414125000330387,0.09399499999562977,-0.00022779405117034912,-0.0023886561393737793,-0.00012767314910888672,-0.002154847141355276,-0.0017065024003386497,-0.0010496415197849274,-26.459861755371094,39.2030029296875,9.187911987304688,2
0.10411387500062119,0.10411416667193407,0.10396787499485072,-0.000969812273979187,-0.0016565322875976562,0.0002728700637817383,-0.0013200710527598858,-0.0001819985918700695,0.0018704673275351524,-26.51128387451172,39.08707046508789,8.992027282714844,2
