t_global,t_local,accX,accY,accZ,gyroX,gyroY,gyroZ,gravX,gravY,gravZ,qx,qy,qz,qw
0.5895059999966179,0.5821242916645133,0.00012624828377738595,-0.001784709864296019,0.0006833349470980465,0.04078768566250801,-0.00013661939010489732,-0.021735312417149544,-0.170848548412323,0.6184133291244507,-0.7670565247535706,-0.3289566172729481,-0.09088057760863871,1.523140748622826e-17,0.9399618640497772
0.5898439166630851,0.5824624583328841,-0.0002119650598615408,-0.0023498099762946367,-0.0013019078178331256,0.03760511428117752,-0.005203138571232557,-0.018701812252402306,-0.17098015546798706,0.6180830001831055,-0.7672934532165527,-0.3287663475126563,-0.09091735910458158,-7.756435025948325e-05,0.9400249071774667
0.606518041662639,0.5991366250018473,-0.0012421372812241316,-0.008640113286674023,-0.005897740367799997,0.0282297246158123,-0.007953920401632786,-0.006146226078271866,-0.17147797346115112,0.6171581149101257,-0.7679265141487122,-0.32823158811239983,-0.09110858625987288,-0.00024166057900248426,0.9401931483199067
0.6381826666693087,0.6308010833308799,-0.0014094983926042914,-0.014128060080111027,-0.008942452259361744,0.026652544736862183,-0.008768878877162933,-0.00584817910566926,-0.17117717862129211,0.6168884634971619,-0.768210232257843,-0.3280522357418552,-0.09097598775035323,-0.00014245105103422183,0.9402685657712513
0.6382407916680677,0.6308594583315426,-0.0015767149161547422,-0.01961580105125904,-0.011987418867647648,0.025075364857912064,-0.00958383921533823,-0.005550133064389229,-0.17087648808956146,0.616618812084198,-0.76849365234375,-0.3278729159625491,-0.090843441323168,-4.3200172925337406e-05,0.9403440261513695
0.6725280000027851,0.6651464166643564,-0.0017989968182519078,-0.0165360476821661,-0.010600394569337368,0.016620321199297905,-0.006888946983963251,-0.003930764738470316,-0.17122532427310944,0.616348385810852,-0.7686328887939453,-0.32772103116588286,-0.09100812695908193,-9.26221915704723e-05,0.9403809549333919
0.7028281666644034,0.6954463750007562,-0.006026835646480322,-0.00415776064619422,-0.00653328699991107,-0.021467512473464012,-0.020173903554677963,0.004626055248081684,-0.1718830019235611,0.6143090128898621,-0.7701172828674316,-0.32650995715161946,-0.09128305209870197,-0.00019798017663531987,0.9407755685726644
0.7029123333340976,0.6955309583354392,-0.00931461714208126,-0.00020035263150930405,-0.003565456485375762,-0.035153649747371674,-0.0242124292999506,0.012818781659007072,-0.1721843183040619,0.6134680509567261,-0.7707201838493347,-0.3260069284094808,-0.09142978126259393,-0.00019204443449674335,0.9409357815650266
0.7374569166640867,0.7300754999960191,-0.01254211738705635,-0.0003633397282101214,-0.0020872587338089943,-0.034277062863111496,-0.03881405293941498,0.021153656765818596,-0.1728571206331253,0.6108198165893555,-0.7726703882217407,-0.3244020373551038,-0.09180476965110296,4.260646681318598e-06,0.9414537824684212
0.7375555833350518,0.7301741666669841,-0.012667867355048656,-0.0007957753259688616,-0.006235472857952118,-0.02503742091357708,-0.03613671660423279,0.020594071596860886,-0.17313773930072784,0.6101425290107727,-0.7731425762176514,-0.3239851129658521,-0.09199111283849568,0.000148271932152905,0.9415791487944813
0.8071243333324674,0.7997424166678684,-0.01708204485476017,0.002276431303471327,-0.0017629279755055904,-0.024247504770755768,-0.026032427325844765,0.02053099498152733,-0.17368802428245544,0.6102442741394043,-0.7729387879371643,-0.3240518181535258,-0.09230935037990434,0.0002084283837767985,0.9415250113762599
0.8073932499974035,0.8000117083356599,-0.021495981141924858,0.0053487359546124935,0.0027091368101537228,-0.023457590490579605,-0.01592813991010189,0.02046792022883892,-0.1742384284734726,0.6103461980819702,-0.7727344632148743,-0.32411862032559874,-0.09262770202885817,0.0002685864140332195,0.9414707896791238
0.8076937916630413,0.8003123333328404,-0.02591034024953842,0.008421065285801888,0.007180937100201845,-0.022667676210403442,-0.005823849234730005,0.020404843613505363,-0.1747884452342987,0.6104477643966675,-0.7725299596786499,-0.32418527224696403,-0.09294590895231877,0.00032874760155614333,0.9414163994241588
0.8429923333314946,0.8356106666687992,-0.027904126793146133,0.0018624813528731465,-0.0058734179474413395,-0.02724687196314335,0.008652819320559502,0.01025347225368023,-0.1756492555141449,0.6105404496192932,-0.772261381149292,-0.32426372695077155,-0.0933934980139219,0.00028025692053205346,0.941345093557373
